long_name,beta
BioMarin Pharmaceutical Inc.,0.590217
Benitec Biopharma Inc.,1.709239
Blueprint Medicines Corporation,0.686956
"Organicell Regenerative Medicine, Inc.",6.14396
"Bio-Path Holdings, Inc.",1.942391
"BioRestorative Therapies, Inc.",89.75163
"Biostage, Inc.",-0.405978
"BioXcel Therapeutics, Inc.",1.083807
"Boston Therapeutics, Inc.",-0.77826
BeyondSpring Inc.,0.539036
"Burzynski Research Institute, Inc.",1.833152
"Calithera Biosciences, Inc.",1.653804
"Capricor Therapeutics, Inc.",6.459782
Capstone Therapeutics Corp.,1.757065
"Cara Therapeutics, Inc.",1.313292
"CASI Pharmaceuticals, Inc.",0.150543
"Catabasis Pharmaceuticals, Inc.",1.68913
"CymaBay Therapeutics, Inc.",1.21576
Cerebain Biotech Corp.,4.503208
"Apotheca Biosciences, Inc.",-0.42542
"Catalyst Biosciences, Inc.",2.025543
"Cleveland BioLabs, Inc.",0.683695
"ChemoCentryx, Inc.",1.43913
"Avid Bioservices, Inc.",2.222282
"Cidara Therapeutics, Inc.",1.40706
ChromaDex Corporation,1.680434
"Cardax, Inc.",1.1125
"Codexis, Inc.",1.26413
"Creative Medical Technology Holdings, Inc.",4.78913
Cerecor Inc.,1.583695
ContraFect Corporation,0.933152
"Chiasma, Inc.",1.259239
"Coherus BioSciences, Inc.",1.074456
"Checkpoint Therapeutics, Inc.",1.651746
"Caladrius Biosciences, Inc.",1.047826
"Cell Source, Inc.",0.317934
"Celldex Therapeutics, Inc.",3.054347
"Cellectar Biosciences, Inc.",1.630978
"Clearside Biomedical, Inc.",1.391653
Celsion Corporation,1.9625
"Clovis Oncology, Inc.",1.651086
"Chimerix, Inc.",1.593478
Cannabics Pharmaceuticals Inc.,-0.892391
"Concert Pharmaceuticals, Inc.",0.490217
"Constellation Pharmaceuticals, Inc.",2.529411
"Cocrystal Pharma, Inc.",0.747282
Corcept Therapeutics Incorporated,0.762824
"Catalyst Pharmaceuticals, Inc.",1.28913
"Corbus Pharmaceuticals Holdings, Inc.",1.775543
"Cardiff Oncology, Inc.",1.822282
"Curis, Inc.",2.983152
CorMedix Inc.,2.344565
"Crinetics Pharmaceuticals, Inc.",1.253419
"Cortexyme, Inc.",0.750261
"Corvus Pharmaceuticals, Inc.",1.647593
"Gene Biotherapeutics, Inc.",1.351086
American CryoStem Corporation,-0.119565
"Champions Oncology, Inc.",1.221739
CTI BioPharma Corp.,0.732608
"CytomX Therapeutics, Inc.",0.701086
"Citius Pharmaceuticals, Inc.",1.604347
"Curative Biotechnology, Inc.",392.3481
"Cue Biopharma, Inc.",1.852276
CEL-SCI Corporation,2.255978
"CohBar, Inc.",2.79076
"Cyclacel Pharmaceuticals, Inc.",1.217391
"Cyclacel Pharmaceuticals, Inc.",1.219251
"Cyclerion Therapeutics, Inc.",1.843615
CytoDyn Inc.,-0.544565
"Cytokinetics, Incorporated",1.372282
CytRx Corporation,2.077173
"Daré Bioscience, Inc.",1.481704
"Deciphera Pharmaceuticals, Inc.",1.509274
Diffusion Pharmaceuticals Inc.,1.588586
DiaMedica Therapeutics Inc.,2.390512
Denali Therapeutics Inc.,1.930301
"Dicerna Pharmaceuticals, Inc.",1.084782
"Fuse Science, Inc.",0.050543
Dthera Sciences,-1.308963
"Precision BioSciences, Inc.",1.679618
"Dyadic International, Inc.",-0.005434
"Editas Medicine, Inc.",1.929347
"Eiger BioPharmaceuticals, Inc.",1.35
"Eledon Pharmaceuticals, Inc.",2.008075
"Eloxx Pharmaceuticals, Inc.",2.28643
"Endonovo Therapeutics, Inc.",1.767391
"Enochian Biosciences, Inc.",0.283141
"Enanta Pharmaceuticals, Inc.",0.405978
Enzolytics Inc.,-2.185326
"Enzon Pharmaceuticals, Inc.",0.335869
"EPIRUS Biopharmaceuticals, Inc.",6.026086
"Epizyme, Inc.",1.263586
"Equillium, Inc.",1.621758
"Entia Biosciences, Inc.",1.288472
"Esperion Therapeutics, Inc.",1.183152
"Eton Pharmaceuticals, Inc.",1.263775
Entasis Therapeutics Holdings Inc.,1.919926
"Evofem Biosciences, Inc.",-0.475009
"Evelo Biosciences, Inc.",1.307775
"Exelixis, Inc.",1.056521
"EyeGate Pharmaceuticals, Inc.",1.158152
"Eyenovia, Inc.",2.164367
"EyePoint Pharmaceuticals, Inc.",1.348913
"Fate Therapeutics, Inc.",1.669608
"Fortress Biotech, Inc.",2.495108
"Fortress Biotech, Inc.",2.495108
Fennec Pharmaceuticals Inc.,0.092391
"FibroGen, Inc.",1.021195
"Homology Medicines, Inc.",-0.421691
"Evolutionary Genomics, Inc.",0.210869
"Amicus Therapeutics, Inc.",1.146195
"FluoroPharma Medical, Inc.",1.191395
Galectin Therapeutics Inc.,2.005515
"GlobeImmune, Inc.",1.8625
"GB Sciences, Inc.",0.223369
"Global Blood Therapeutics, Inc.",1.075543
Geron Corporation,1.111413
"Gala Pharmaceutical, Inc.",-1.611956
"GlycoMimetics, Inc.",2.122959
"GeneLink, Inc.",-1.49476
"Genprex, Inc.",-0.908608
"Gossamer Bio, Inc.",1.271452
"GeoVax Labs, Inc.",1.780195
"Gritstone bio, Inc.",0.148255
"GT Biopharma, Inc.",1.568478
"GeneThera, Inc.",0.933152
"G1 Therapeutics, Inc.",2.327217
Halberd Corporation,-8.758152
"Halozyme Therapeutics, Inc.",1.463003
"Harpoon Therapeutics, Inc.",0.834394
"H-CYTE, Inc.",1.380219
"Hepion Pharmaceuticals, Inc.",1.115217
"Health Sciences Group, Inc.",-71.721924
"Humanigen, Inc.",-2.380978
Hiru Corporation,0.716847
"HEALTHeUNIVERSE, Inc.",-91.82011
"Hemagen Diagnostics, Inc.",0.01413
HOOKIPA Pharma Inc.,1.17321
"Hoth Therapeutics, Inc.",1.039631
"Heron Therapeutics, Inc.",1.382065
"Heat Biologics, Inc.",0.284782
"iBio, Inc.",-6.243794
"Intercept Pharmaceuticals, Inc.",1.533695
"Idera Pharmaceuticals, Inc.",1.816304
"IDEAYA Biosciences, Inc.",1.913498
"ImmunoGen, Inc.",1.35163
"Immune Pharmaceuticals, Inc.",2.056521
"ImmunoCellular Therapeutics, Ltd.",1.394565
"Immune Therapeutics, Inc.",0.957608
"Immunic, Inc.",2.027562
Incyte Corporation,0.802717
"Infinity Pharmaceuticals, Inc.",2.2875
"INmune Bio, Inc.",2.731649
"Inovio Pharmaceuticals, Inc.",0.654891
Insmed Incorporated,2.271195
"Inhibitor Therapeutics, Inc.",-0.523913
"Innoviva, Inc.",0.60163
"Ionis Pharmaceuticals, Inc.",1.079891
"Iovance Biotherapeutics, Inc.",0.819021
Innovation Pharmaceuticals Inc.,-0.426203
International Stem Cell Corporation,0.713586
"IVERIC bio, Inc.",1.688235
"Intra-Cellular Therapies, Inc.",1.317391
Itoco Inc.,-1.847826
"Jaguar Health, Inc.",1.360465
"Jounce Therapeutics, Inc.",1.119208
"Kala Pharmaceuticals, Inc.",0.433921
"Claritas Pharmaceuticals, Inc.",2.837869
"KalVista Pharmaceuticals, Inc.",2.073457
"Kadmon Holdings, Inc.",1.553146
"Kaleido Biosciences, Inc.",-0.317409
"KemPharm, Inc.",3.358695
Kodiak Sciences Inc.,1.38363
Karyopharm Therapeutics Inc.,0.261413
"Karuna Therapeutics, Inc.",1.825347
"Krystal Biotech, Inc.",1.13402
"Kintara Therapeutics, Inc.",1.450543
"Kura Oncology, Inc.",1.917934
"Kezar Life Sciences, Inc.",0.342787
Lescarden Inc.,-1.660326
"Lineage Cell Therapeutics, Inc.",1.892934
Ligand Pharmaceuticals Incorporated,1.180978
"aTyr Pharma, Inc.",2.045108
"Lixte Biotechnology Holdings, Inc.",-1.077717
La Jolla Pharmaceutical Company,2.367934
"LogicBio Therapeutics, Inc.",1.258725
Lipocine Inc.,0.44124
"Leap Therapeutics, Inc.",1.223455
Liquidia Corporation,0.059849
"Lexicon Pharmaceuticals, Inc.",1.477717
"Merrimack Pharmaceuticals, Inc.",2.299456
"MabCure, Inc.",1.011413
"Mustang Bio, Inc.",1.718684
"Moleculin Biotech, Inc.",1.968432
"MultiCell Technologies, Inc.",4.892934
"Seres Therapeutics, Inc.",3.917391
"Madrigal Pharmaceuticals, Inc.",1.102591
"MDEChem, Inc.",-0.155978
"MEI Pharma, Inc.",1.504891
"MacroGenics, Inc.",2.255978
"Magenta Therapeutics, Inc.",2.3771
MeiraGTx Holdings plc,1.30182
"Millendo Therapeutics, Inc.",0.476276
MannKind Corporation,1.905978
"MediciNova, Inc.",1.399891
"Marker Therapeutics, Inc.",1.257608
"Moderna, Inc.",1.470843
"Marinus Pharmaceuticals, Inc.",1.404891
"Mera Pharmaceuticals, Inc.",3.214673
"Mersana Therapeutics, Inc.",2.432527
"Mirati Therapeutics, Inc.",1.417391
"Marizyme, Inc.",-0.366847
"Molecular Templates, Inc.",1.237874
"Matinas BioPharma Holdings, Inc.",2.521195
"MetaStat, Inc.",-5.533695
"Navidea Biopharmaceuticals, Inc.",1.770108
"Neon Bloom, Inc.",0.711315
"Nascent Biotech, Inc.",-2.377173
"Neurocrine Biosciences, Inc.",0.766847
"NovaBay Pharmaceuticals, Inc.",3.788196
"Minerva Neurosciences, Inc.",1.109239
"NGM Biopharmaceuticals, Inc.",2.0096
Nektar Therapeutics,1.507608
"9 Meters Biopharma, Inc.",-0.199555
"Nanobac Pharmaceuticals, Incorporated",0.191304
"NanoLogix, Inc.",0.752717
"NanoViricides, Inc.",0.838043
"Novan, Inc.",-0.0336
Nutra Pharma Corp.,3.392934
"Neuropathix, Inc.",1.668773
"Inspyr Therapeutics, Inc.",-17.15
"Neurobiological Technologies, Inc.",0.125
"Intellia Therapeutics, Inc.",2.044021
Nutriband Inc.,-1.26135
Neutra Corp.,3.441809
"Novavax, Inc.",1.554891
InVivo Therapeutics Holdings Corp.,1.368478
"Northwest Biotherapeutics, Inc.",0.807608
"NextCure, Inc.",-0.514823
"Theralink Technologies, Inc.",3.055708
"Ocular Therapeutix, Inc.",2.093215
OncoCyte Corporation,1.891304
"Odonate Therapeutics, Inc.",0.323824
"Oragenics, Inc.",0.289673
Omeros Corporation,1.142391
"Omnimmune Holdings, Inc.",1.25326
ONE Bio Corp.,-7.672826
OncoSec Medical Incorporated,2.290678
"Oncternal Therapeutics, Inc.",1.563194
Oncology Pharma Inc.,-4.515719
"Onconova Therapeutics, Inc.",1.761169
"Opiant Pharmaceuticals, Inc.",0.738586
Orgenesis Inc.,1.159239
Osmotica Pharmaceuticals plc,2.226002
"Otonomy, Inc.",1.974456
"Oncotelic Therapeutics, Inc.",0.143846
"Outlook Therapeutics, Inc.",0.689673
Ovid Therapeutics Inc.,1.882481
"OncoVista Innovative Therapies, Inc.",1.887479
"Poniard Pharmaceuticals, Inc.",0.755434
"Panbela Therapeutics, Inc.",0.192934
"Puma Biotechnology, Inc.",1.279347
"Point of Care Nano-Technology, Inc.",1.154891
"Processa Pharmaceuticals, Inc.",-0.061718
PDS Biotechnology Corporation,2.072138
"Pathfinder Cell Therapy, Inc.",-0.221739
"Precigen, Inc.",2.33262
"PhaseBio Pharmaceuticals, Inc.",1.631341
Phio Pharmaceuticals Corp.,2.25648
"Pieris Pharmaceuticals, Inc.",1.155978
"ProtoKinetix, Incorporated",0.198565
"PharmaCyte Biotech, Inc.",0.323369
"Protide Pharmaceuticals, Inc.",1.963044
"Proteonomix, Inc.",2.550468
PureTech Health plc,0.765616
"Paratek Pharmaceuticals, Inc.",1.548369
"Provention Bio, Inc.",3.042065
"Plus Therapeutics, Inc.",0.402717
PureTech Health plc,0.765616
"PTC Therapeutics, Inc.",0.997826
"PolarityTE, Inc.",1.051086
"Protagonist Therapeutics, Inc.",1.542425
"Palatin Technologies, Inc.",1.423369
"Pulmatrix, Inc.",1.394565
"Provectus Biopharmaceuticals, Inc.",0.657608
"PhaseRx, Inc.",-0.599456
Q BioMed Inc.,2.05163
Qrons Inc.,-0.156288
"QSAM Biosciences, Inc.",2.997826
Ultragenyx Pharmaceutical Inc.,1.905434
"Rasna Therapeutics, Inc.",0.316565
"RenovaCare, Inc.",2.439602
"Rich Pharmaceuticals, Inc.",1.483152
"Rocket Pharmaceuticals, Inc.",1.560153
"Rock Creek Pharmaceuticals, Inc.",3.204347
"Arcus Biosciences, Inc.",1.077063
"Regeneron Pharmaceuticals, Inc.",0.19076
"Replimune Group, Inc.",2.531805
"Reata Pharmaceuticals, Inc.",1.478804
"Rafael Holdings, Inc.",2.351915
"Regenicin, Inc.",1.273028
Regulus Therapeutics Inc.,2.326086
REGENXBIO Inc.,1.236624
"RegeneRx Biopharmaceuticals, Inc.",0.583152
"Rigel Pharmaceuticals, Inc.",1.509239
RespireRx Pharmaceuticals Inc.,0.453804
"Rubius Therapeutics, Inc.",2.572161
"Revance Therapeutics, Inc.",1.282608
"Rhythm Pharmaceuticals, Inc.",1.441306
"Rezolute, Inc.",3.716304
"Sage Therapeutics, Inc.",2.016304
"Cassava Sciences, Inc.",1.119565
Strongbridge Biopharma plc,1.609239
scPharmaceuticals Inc.,0.37844
"Seelos Therapeutics, Inc.",3.10586
"Selecta Biosciences, Inc.",0.934724
"Sesen Bio, Inc.",0.824456
Seagen Inc.,0.860326
"Sangamo Therapeutics, Inc.",1.732065
"SIGA Technologies, Inc.",0.879144
"Silo Pharma, Inc.",-1.791304
Sio Gene Therapies Inc.,1.746195
"Skye Bioscience, Inc.",0.333155
"Soleno Therapeutics, Inc.",0.427173
"SELLAS Life Sciences Group, Inc.",1.788122
Summit Therapeutics Inc.,0.617519
"Syndax Pharmaceuticals, Inc.",1.639673
"Soligenix, Inc.",1.305978
"Sienna Biopharmaceuticals, Inc.",1.746879
"AngioSoma, Inc.",-0.283039
"Sophiris Bio, Inc.",1.500276
"Spectrum Pharmaceuticals, Inc.",2.273579
"Spero Therapeutics, Inc.",1.532175
"Sorrento Therapeutics, Inc.",2.374456
"Sarepta Therapeutics, Inc.",1.450543
"Sierra Oncology, Inc.",1.073369
Scholar Rock Holding Corporation,0.098272
"Stoke Therapeutics, Inc.",0.307638
"Sutro Biopharma, Inc.",0.730943
"Surface Oncology, Inc.",1.860258
Savara Inc.,1.081501
"Synlogic, Inc.",1.749472
"Synthetic Biologics, Inc.",1.86413
"Syros Pharmaceuticals, Inc.",1.903412
"Tauriga Sciences, Inc.",2.015217
"Translate Bio, Inc.",0.897058
"Tricida, Inc.",1.309523
"TRACON Pharmaceuticals, Inc.",1.942934
TCR2 Therapeutics Inc.,2.071125
Bio-Techne Corporation,1.117934
"Tenax Therapeutics, Inc.",2.405434
"TG Therapeutics, Inc.",2.145652
TetraLogic Pharmaceuticals Corporation,0.208695
Tonix Pharmaceuticals Holding Corp.,1.351086
"Turning Point Therapeutics, Inc.",0.967997
"Trevi Therapeutics, Inc.",-0.081967
"Trevena, Inc.",2.460326
"Therapeutic Solutions International, Inc.",1.015217
"Titan Pharmaceuticals, Inc.",0.784239
"Tyme Technologies, Inc.",1.047282
"Unity Biotechnology, Inc.",0.229661
UroGen Pharma Ltd.,1.204576
"U.S. Stem Cell, Inc.",2.150543
United Therapeutics Corporation,0.510326
"Vitality Biopharma, Inc.",3.750137
VBI Vaccines Inc.,1.996739
Vericel Corporation,2.1125
"Vaccinex, Inc.",1.737683
"Veracyte, Inc.",0.746739
Veru Inc.,0.616304
VG Life Sciences Inc.,0.938775
"VIA Pharmaceuticals, Inc.",-0.11413
"Vicapsys Life Sciences, Inc.",-10.893869
"Viking Therapeutics, Inc.",1.842391
Vanda Pharmaceuticals Inc.,0.470652
"VioQuest Pharmaceuticals, Inc.",-1.195108
Verrica Pharmaceuticals Inc.,2.27731
"Verde Science, Inc.",6.336956
"Viridian Therapeutics, Inc.",1.287006
Vertex Pharmaceuticals Incorporated,0.673369
"Verastem, Inc.",0.966304
"VistaGen Therapeutics, Inc.",0.87663
vTv Therapeutics Inc.,-1.811413
"Vaxart, Inc.",0.100886
"Voyager Therapeutics, Inc.",1.096195
"Windtree Therapeutics, Inc.",-0.102173
W World Corp.,1.420652
"Xenetic Biosciences, Inc.",2.526199
XBiotech Inc.,1.344732
"Exicure, Inc.",1.325053
Xeno Transplants Corporation,1.207608
"Xeris Pharmaceuticals, Inc.",1.831582
"X4 Pharmaceuticals, Inc.",0.184389
Acceleron Pharma Inc.,0.364673
"Xencor, Inc.",0.639673
XOMA Corporation,0.948369
XOMA Corporation,0.948369
NovAccess Global Inc.,1.529347
"Y-mAbs Therapeutics, Inc.",1.244533
"Zogenix, Inc.",1.427173
"ZIOPHARM Oncology, Inc.",2.052173
"ZIVO Bioscience, Inc.",0.317934
Zosano Pharma Corporation,3.796195
