long_name,priceToBook
"EPIRUS Biopharmaceuticals, Inc.",0.0055055055
"Epizyme, Inc.",8.779343
"Equillium, Inc.",1.7983565
"Eton Pharmaceuticals, Inc.",6.2727275
Entasis Therapeutics Holdings Inc.,1.7379117
"Evofem Biosciences, Inc.",53.95882
"Evelo Biosciences, Inc.",7.5212636
"Exelixis, Inc.",2.7667594
"EyeGate Pharmaceuticals, Inc.",2.698413
"Eyenovia, Inc.",10.147679
"EyePoint Pharmaceuticals, Inc.",2.1162446
"Fate Therapeutics, Inc.",19.18074
"Fortress Biotech, Inc.",2.9201102
"Fortress Biotech, Inc.",23.774105
Fennec Pharmaceuticals Inc.,6.8925967
"FibroGen, Inc.",3.57657
"Homology Medicines, Inc.",1.7260836
"Amicus Therapeutics, Inc.",10.09544
"Fulcrum Therapeutics, Inc.",2.2155952
Galectin Therapeutics Inc.,7.604167
"GlobeImmune, Inc.",1.4157754
"Global Blood Therapeutics, Inc.",5.244216
Geron Corporation,2.0886075
"GlycoMimetics, Inc.",0.8566721
"Genocea Biosciences, Inc.",66.24999
"Genprex, Inc.",2.8986866
"Gossamer Bio, Inc.",1.6739992
"GeoVax Labs, Inc.",1.2922039
"Gritstone bio, Inc.",1.9595262
"GT Biopharma, Inc.",10.305343
"G1 Therapeutics, Inc.",3.965184
"Halozyme Therapeutics, Inc.",89.131355
"Harpoon Therapeutics, Inc.",4.0525985
"H-CYTE, Inc.",0.4725
"Hepion Pharmaceuticals, Inc.",0.37610093
"Humanigen, Inc.",53.91167
Hiru Corporation,2.3
"HEALTHeUNIVERSE, Inc.",0.82
HOOKIPA Pharma Inc.,1.7220094
"Hoth Therapeutics, Inc.",1.6106606
"Heron Therapeutics, Inc.",5.9059153
"Heat Biologics, Inc.",1.171732
"iBio, Inc.",2.583826
ImmuCell Corporation,2.5280898
"Idera Pharmaceuticals, Inc.",1.1221123
"IDEAYA Biosciences, Inc.",2.8245225
"IGM Biosciences, Inc.",10.699066
"ImmunoGen, Inc.",12.101911
"Immune Pharmaceuticals, Inc.",0.18421054
"ImmunoCellular Therapeutics, Ltd.",0.6548348
"Immunic, Inc.",1.2731636
Incyte Corporation,6.384814
"Infinity Pharmaceuticals, Inc.",4.4974446
"INmune Bio, Inc.",7.318261
"Inovio Pharmaceuticals, Inc.",3.0921526
Insmed Incorporated,13.565574
"Innoviva, Inc.",2.130414
"Ionis Pharmaceuticals, Inc.",7.5895634
"Iovance Biotherapeutics, Inc.",5.4773984
Innovation Pharmaceuticals Inc.,27.666668
"IVERIC bio, Inc.",4.496708
"Intra-Cellular Therapies, Inc.",4.8880053
"Jaguar Health, Inc.",6.26506
"Jounce Therapeutics, Inc.",1.0296812
"Kala Pharmaceuticals, Inc.",2.2777455
"KalVista Pharmaceuticals, Inc.",6.7323074
"Kadmon Holdings, Inc.",48.04878
"Kaleido Biosciences, Inc.",4.410894
"KemPharm, Inc.",3.759297
Kodiak Sciences Inc.,5.0860853
"Karuna Therapeutics, Inc.",16.927399
"Krystal Biotech, Inc.",3.2425883
"Kura Oncology, Inc.",2.098835
"Kezar Life Sciences, Inc.",1.842735
"Lineage Cell Therapeutics, Inc.",3.42711
Ligand Pharmaceuticals Incorporated,2.7334225
"aTyr Pharma, Inc.",1.4400772
Life Stem Genetics Inc.,1.2499999
"Lixte Biotechnology Holdings, Inc.",22.131147
"LogicBio Therapeutics, Inc.",2.183135
Lipocine Inc.,2.7291665
"Leap Therapeutics, Inc.",2.192846
Liquidia Corporation,1.7022743
"Lexicon Pharmaceuticals, Inc.",3.3301797
"Merrimack Pharmaceuticals, Inc.",5.319149
"MabCure, Inc.",0.018032787
"Mustang Bio, Inc.",1.8998717
"Moleculin Biotech, Inc.",1.0571979
"Seres Therapeutics, Inc.",10.847723
"Madrigal Pharmaceuticals, Inc.",5.74476
"MEI Pharma, Inc.",4.1653905
"MacroGenics, Inc.",4.4050674
"Magenta Therapeutics, Inc.",3.318419
MeiraGTx Holdings plc,3.068592
"Mirum Pharmaceuticals, Inc.",2.491125
"Millendo Therapeutics, Inc.",0.8085431
"MediciNova, Inc.",2.4179292
Monopar Therapeutics Inc.,10.62249
"Morphic Holding, Inc.",5.8354554
"Marker Therapeutics, Inc.",2.6345932
"Moderna, Inc.",32.110542
"Marinus Pharmaceuticals, Inc.",5.2709846
"Mersana Therapeutics, Inc.",4.335542
"Mirati Therapeutics, Inc.",6.671698
"Marizyme, Inc.",1.1744967
"Molecular Templates, Inc.",3.7732918
"Matinas BioPharma Holdings, Inc.",2.294805
"Navidea Biopharmaceuticals, Inc.",3.6853
"Neon Bloom, Inc.",2.6415095
"Neurocrine Biosciences, Inc.",7.484715
"NeuBase Therapeutics, Inc.",6.7802386
"NovaBay Pharmaceuticals, Inc.",1.9698305
"Minerva Neurosciences, Inc.",1.9020715
"NGM Biopharmaceuticals, Inc.",5.467608
Nektar Therapeutics,3.066349
"NanoLogix, Inc.",3.7499998
"NanoViricides, Inc.",1.5007215
"Novan, Inc.",411.5
"Neurobiological Technologies, Inc.",0.00018656715
"Intellia Therapeutics, Inc.",18.171867
Nutriband Inc.,10.543389
"Novavax, Inc.",14.766588
InVivo Therapeutics Holdings Corp.,0.87382555
"NextCure, Inc.",0.7317315
"Ocular Therapeutix, Inc.",12.3476515
OncoCyte Corporation,4.6205173
"Odonate Therapeutics, Inc.",1.3345522
"Oragenics, Inc.",2.135986
ONE Bio Corp.,0.001183638
OncoSec Medical Incorporated,1.8877938
"Oncternal Therapeutics, Inc.",3.5169494
"Onconova Therapeutics, Inc.",162.42424
"Opiant Pharmaceuticals, Inc.",2.1801734
Orgenesis Inc.,2.174497
Oramed Pharmaceuticals Inc.,6.9908466
Osmotica Pharmaceuticals plc,2.650957
"Otonomy, Inc.",1.5099223
"Outlook Therapeutics, Inc.",19.831932
Ovid Therapeutics Inc.,5.7831326
"Poniard Pharmaceuticals, Inc.",0.016835017
"Puma Biotechnology, Inc.",19.97549
"Processa Pharmaceuticals, Inc.",3.4670627
PDS Biotechnology Corporation,7.7850695
Phio Pharmaceuticals Corp.,0.82149196
"Pieris Pharmaceuticals, Inc.",5.5
"ProtoKinetix, Incorporated",64.99999
"PharmaCyte Biotech, Inc.",3.1499999
"Protide Pharmaceuticals, Inc.",2.5000002
"Provention Bio, Inc.",2.2268183
"Plus Therapeutics, Inc.",40.0
PureTech Health plc,1.9462228
"PTC Therapeutics, Inc.",10.459577
"PolarityTE, Inc.",2.0618527
"Protagonist Therapeutics, Inc.",8.20061
"Palatin Technologies, Inc.",1.918315
"Pulmatrix, Inc.",0.8798411
"RAPT Therapeutics, Inc.",9.093868
Ultragenyx Pharmaceutical Inc.,5.5349493
"RenovaCare, Inc.",22.222221
"Rocket Pharmaceuticals, Inc.",6.046752
"Arcus Biosciences, Inc.",4.1495976
"Regeneron Pharmaceuticals, Inc.",5.082349
"Replimune Group, Inc.",3.082166
"Reata Pharmaceuticals, Inc.",12.735933
"Rafael Holdings, Inc.",7.006614
Regulus Therapeutics Inc.,2.0099173
REGENXBIO Inc.,3.6944447
"Rigel Pharmaceuticals, Inc.",9.130434
"Rubius Therapeutics, Inc.",6.6903706
"Revance Therapeutics, Inc.",8.967836
"Rhythm Pharmaceuticals, Inc.",2.6067476
"Rezolute, Inc.",3.0387902
"Sage Therapeutics, Inc.",1.3670952
"Cassava Sciences, Inc.",12.924019
Strongbridge Biopharma plc,3.3494558
scPharmaceuticals Inc.,2.121716
"Seelos Therapeutics, Inc.",7.689873
"Sesen Bio, Inc.",71.481476
Seagen Inc.,7.693123
"Sangamo Therapeutics, Inc.",3.1072412
"SIGA Technologies, Inc.",3.610946
"Soleno Therapeutics, Inc.",2.0091295
"Salarius Pharmaceuticals, Inc.",0.79816514
"SELLAS Life Sciences Group, Inc.",4.514436
Summit Therapeutics Inc.,9.69112
"Syndax Pharmaceuticals, Inc.",3.2367866
"Soligenix, Inc.",2.147806
"Spectrum Pharmaceuticals, Inc.",3.586498
"Spero Therapeutics, Inc.",3.6794808
"Sorrento Therapeutics, Inc.",10.012019
"Sarepta Therapeutics, Inc.",7.2178802
"Sierra Oncology, Inc.",2.4078803
Scholar Rock Holding Corporation,4.6746745
"Stoke Therapeutics, Inc.",4.6618123
"Sutro Biopharma, Inc.",2.6717672
"Satsuma Pharmaceuticals, Inc.",0.8569395
"Surface Oncology, Inc.",1.7799617
Savara Inc.,0.8949416
"SpringWorks Therapeutics, Inc.",10.497309
"Synlogic, Inc.",1.2593703
"Synthetic Biologics, Inc.",0.8789386
"Syros Pharmaceuticals, Inc.",3.054004
"Tauriga Sciences, Inc.",12.5
"Translate Bio, Inc.",6.437434
"Tricida, Inc.",3.2816327
"TRACON Pharmaceuticals, Inc.",3.9163496
TCR2 Therapeutics Inc.,1.5742962
Bio-Techne Corporation,11.7874365
"Tenax Therapeutics, Inc.",8.937198
"TG Therapeutics, Inc.",11.12544
Tonix Pharmaceuticals Holding Corp.,1.7554946
"Turning Point Therapeutics, Inc.",3.0951424
"Trevi Therapeutics, Inc.",1.6400337
"Trevena, Inc.",2.5328948
"Titan Pharmaceuticals, Inc.",2.2727273
"Tyme Technologies, Inc.",1.7766496
"Unity Biotechnology, Inc.",2.7073338
UroGen Pharma Ltd.,4.564521
United Therapeutics Corporation,2.3977587
"Vitality Biopharma, Inc.",8.954545
VBI Vaccines Inc.,4.350282
Vericel Corporation,17.260138
"Vaccinex, Inc.",82.06897
"Veracyte, Inc.",2.6501036
Veru Inc.,3.705792
"Viking Therapeutics, Inc.",1.9030579
Vanda Pharmaceuticals Inc.,2.2939112
Viropro Inc.,0.004347826
Verrica Pharmaceuticals Inc.,5.088968
Vertex Pharmaceuticals Incorporated,5.6649184
"Verastem, Inc.",6.164154
"VistaGen Therapeutics, Inc.",4.0680475
"Vaxart, Inc.",5.212836
"Voyager Therapeutics, Inc.",0.9539564
"Windtree Therapeutics, Inc.",0.5166475
"Xenetic Biosciences, Inc.",1.2598425
XBiotech Inc.,1.340674
"Exicure, Inc.",2.4253075
Xeno Transplants Corporation,0.3
"Xeris Pharmaceuticals, Inc.",5.35127
"X4 Pharmaceuticals, Inc.",1.2753623
Acceleron Pharma Inc.,9.0854025
"Xencor, Inc.",3.2771347
XOMA Corporation,4.472632
"Y-mAbs Therapeutics, Inc.",12.587466
"Zogenix, Inc.",2.9239054
"ZIOPHARM Oncology, Inc.",5.010142
Zosano Pharma Corporation,1.908867
